 Id;Name;BuildId;Duration;CalcPrio;LastRun;NumRan;NumErrors;Verdict;Cycle;LastResults
1;1;1;0.235;0;2014-02-22 08:20:05;2;0;0;1;[]
2;2;1;5.704;0;2014-02-22 08:20:05;1;0;0;1;[]
3;3;1;0.006;0;2014-02-22 08:20:05;1;0;0;1;[]
4;4;1;0.188;0;2014-02-22 08:20:05;3;0;0;1;[]
5;5;1;3.172;0;2014-02-22 08:20:05;1;0;0;1;[]
6;6;1;0.006;0;2014-02-22 08:20:05;1;0;0;1;[]
7;7;1;0.034;0;2014-02-22 08:20:05;1;0;0;1;[]
8;8;1;0.001;0;2014-02-22 08:20:05;1;1;1;1;[]
9;9;1;0.497;0;2014-02-22 08:20:05;1;1;1;1;[]
18;9;2;0.591;0;2014-02-22 08:20:07;1;1;1;1;[]
17;8;2;0.002;0;2014-02-22 08:20:07;1;1;1;1;[]
16;7;2;0.016;0;2014-02-22 08:20:07;1;0;0;1;[]
15;6;2;0.002;0;2014-02-22 08:20:07;1;0;0;1;[]
11;2;2;7.227;0;2014-02-22 08:20:07;1;0;0;1;[]
13;4;2;0.247;0;2014-02-22 08:20:07;3;0;0;1;[]
12;3;2;0.026;0;2014-02-22 08:20:07;1;0;0;1;[]
10;1;2;0.026;0;2014-02-22 08:20:07;2;0;0;1;[]
14;5;2;3.425;0;2014-02-22 08:20:07;1;0;0;1;[]
25;7;3;0.023;0;2014-02-22 08:20:15;1;0;0;1;[]
27;9;3;0.001;0;2014-02-22 08:20:15;1;1;1;1;[]
26;8;3;0.006;0;2014-02-22 08:20:15;1;1;1;1;[]
24;6;3;0.001;0;2014-02-22 08:20:15;1;0;0;1;[]
20;2;3;5.445;0;2014-02-22 08:20:15;1;0;0;1;[]
22;4;3;0.253;0;2014-02-22 08:20:15;3;0;0;1;[]
21;3;3;0.001;0;2014-02-22 08:20:15;1;0;0;1;[]
19;1;3;0.702;0;2014-02-22 08:20:15;2;0;0;1;[]
23;5;3;2.879;0;2014-02-22 08:20:15;1;0;0;1;[]
36;9;4;0.001;0;2014-02-22 08:30:59;1;1;1;1;[]
35;8;4;0.007;0;2014-02-22 08:30:59;1;1;1;1;[]
34;7;4;0.03;0;2014-02-22 08:30:59;1;0;0;1;[]
33;6;4;0.002;0;2014-02-22 08:30:59;1;0;0;1;[]
32;5;4;3.17;0;2014-02-22 08:30:59;1;0;0;1;[]
30;3;4;0.003;0;2014-02-22 08:30:59;1;0;0;1;[]
29;2;4;5.722;0;2014-02-22 08:30:59;1;0;0;1;[]
28;1;4;0.854;0;2014-02-22 08:30:59;2;0;0;1;[]
31;4;4;0.332;0;2014-02-22 08:30:59;3;0;0;1;[]
43;7;5;0.015;0;2014-02-22 08:31:12;1;0;0;1;[]
45;9;5;0.573;0;2014-02-22 08:31:12;1;1;1;1;[]
44;8;5;0.002;0;2014-02-22 08:31:12;1;1;1;1;[]
42;6;5;0.002;0;2014-02-22 08:31:12;1;0;0;1;[]
38;2;5;7.303;0;2014-02-22 08:31:12;1;0;0;1;[]
40;4;5;0.242;0;2014-02-22 08:31:12;3;0;0;1;[]
37;1;5;0.022;0;2014-02-22 08:31:12;2;0;0;1;[]
41;5;5;3.632;0;2014-02-22 08:31:12;1;0;0;1;[]
39;3;5;0.026;0;2014-02-22 08:31:12;1;0;0;1;[]
46;1;6;0.027;0;2014-02-22 08:31:23;2;0;0;1;[]
47;2;6;5.45;0;2014-02-22 08:31:23;1;0;0;1;[]
48;3;6;0.047;0;2014-02-22 08:31:23;1;0;0;1;[]
49;4;6;0.461;0;2014-02-22 08:31:23;3;0;0;1;[]
51;6;6;0.002;0;2014-02-22 08:31:23;1;0;0;1;[]
52;7;6;0.025;0;2014-02-22 08:31:23;1;0;0;1;[]
53;8;6;0.499;0;2014-02-22 08:31:23;1;1;1;1;[]
54;9;6;0.002;0;2014-02-22 08:31:23;1;1;1;1;[]
50;5;6;2.887;0;2014-02-22 08:31:23;1;0;0;1;[]
60;6;7;0.002;0;2014-02-22 18:03:53;1;0;0;2;[]
62;8;7;0.008;0;2014-02-22 18:03:53;1;1;1;2;[]
61;7;7;0.011;0;2014-02-22 18:03:53;1;0;0;2;[]
63;9;7;0.001;0;2014-02-22 18:03:53;1;1;1;2;[]
59;5;7;3.272;0;2014-02-22 18:03:53;1;0;0;2;[]
57;3;7;0.039;0;2014-02-22 18:03:53;1;0;0;2;[]
56;2;7;5.766;0;2014-02-22 18:03:53;1;0;0;2;[]
55;1;7;0.034;0;2014-02-22 18:03:53;2;0;0;2;[]
58;4;7;0.927;0;2014-02-22 18:03:53;3;0;0;2;[]
72;9;8;0.01;0;2014-02-22 18:04:20;1;1;1;2;[]
71;8;8;0;0;2014-02-22 18:04:20;1;1;1;2;[]
70;7;8;0.04;0;2014-02-22 18:04:20;1;0;0;2;[]
69;6;8;0.001;0;2014-02-22 18:04:20;1;0;0;2;[]
68;5;8;2.923;0;2014-02-22 18:04:20;1;0;0;2;[]
66;3;8;0.011;0;2014-02-22 18:04:20;1;0;0;2;[]
65;2;8;7.306;0;2014-02-22 18:04:20;1;0;0;2;[]
64;1;8;0.047;0;2014-02-22 18:04:20;2;0;0;2;[]
67;4;8;0.192;0;2014-02-22 18:04:20;3;0;0;2;[]
78;6;9;0.013;0;2014-02-22 18:04:21;1;0;0;2;[]
81;9;9;0.006;0;2014-02-22 18:04:21;1;0;0;2;[]
79;7;9;0.008;0;2014-02-22 18:04:21;1;0;0;2;[]
77;5;9;2.997;0;2014-02-22 18:04:21;1;0;0;2;[]
80;8;9;0.38;0;2014-02-22 18:04:21;1;0;0;2;[]
75;3;9;0.008;0;2014-02-22 18:04:21;1;0;0;2;[]
73;1;9;1.16;0;2014-02-22 18:04:21;2;0;0;2;[]
76;4;9;0.259;0;2014-02-22 18:04:21;3;0;0;2;[]
74;2;9;8.719;0;2014-02-22 18:04:21;1;0;0;2;[]
92;11;10;0.009;0;2014-02-23 16:23:39;1;0;0;3;[]
91;10;10;0.03;0;2014-02-23 16:23:39;1;0;0;3;[]
90;9;10;0;0;2014-02-23 16:23:39;1;0;0;3;[]
88;7;10;0.006;0;2014-02-23 16:23:39;1;0;0;3;[]
87;6;10;0.001;0;2014-02-23 16:23:39;1;0;0;3;[]
89;8;10;0.195;0;2014-02-23 16:23:39;1;0;0;3;[]
85;4;10;0.139;0;2014-02-23 16:23:39;3;0;0;3;[]
84;3;10;0.007;0;2014-02-23 16:23:39;1;0;0;3;[]
83;2;10;5.585;0;2014-02-23 16:23:39;1;0;0;3;[]
82;1;10;21.589;0;2014-02-23 16:23:39;2;0;0;3;[]
86;5;10;3.069;0;2014-02-23 16:23:39;1;0;0;3;[]
100;8;11;0.208;0;2014-02-23 17:40:06;1;0;0;4;[]
103;11;11;0.011;0;2014-02-23 17:40:06;1;0;0;4;[]
102;10;11;0.039;0;2014-02-23 17:40:06;1;0;0;4;[]
101;9;11;0;0;2014-02-23 17:40:06;1;0;0;4;[]
98;6;11;0.012;0;2014-02-23 17:40:06;1;0;0;4;[]
99;7;11;0.01;0;2014-02-23 17:40:06;1;0;0;4;[]
97;5;11;2.951;0;2014-02-23 17:40:06;1;0;0;4;[]
96;4;11;0.157;0;2014-02-23 17:40:06;3;0;0;4;[]
95;3;11;0.007;0;2014-02-23 17:40:06;1;0;0;4;[]
94;2;11;6.367;0;2014-02-23 17:40:06;1;0;0;4;[]
93;1;11;26.967;0;2014-02-23 17:40:06;2;0;0;4;[]
113;11;12;0.005;0;2014-02-25 01:18:40;1;0;0;5;[]
112;9;12;0.003;0;2014-02-25 01:18:40;1;1;1;5;[]
111;8;12;0.001;0;2014-02-25 01:18:40;1;1;1;5;[]
110;7;12;0.019;0;2014-02-25 01:18:40;1;0;0;5;[]
109;6;12;0.001;0;2014-02-25 01:18:40;1;0;0;5;[]
108;5;12;3.024;0;2014-02-25 01:18:40;1;0;0;5;[]
107;4;12;0.413;0;2014-02-25 01:18:40;3;0;0;5;[]
106;3;12;0.789;0;2014-02-25 01:18:40;1;0;0;5;[]
105;2;12;6.265;0;2014-02-25 01:18:40;1;0;0;5;[]
104;1;12;21.044;0;2014-02-25 01:18:40;2;0;0;5;[]
122;9;13;0;0;2014-02-25 01:45:19;1;1;1;5;[]
